product_id,product_name_pol,category_id,category_name,producer_id
157,RĘKAWICZKI NITRYLOWE Rękawiczki Jednorazowe IRIS CZARNE BLACK 100 SZT S,1214553892,Rękawiczki jednorazowe,1
158,RĘKAWICZKI NITRYLOWE Rękawiczki Jednorazowe IRIS CZARNE BLACK 100 SZT M,1214553892,Rękawiczki jednorazowe,1
159,RĘKAWICZKI NITRYLOWE Rękawiczki Jednorazowe IRIS CZARNE BLACK 100 SZT L,1214553892,Rękawiczki jednorazowe,1
160,RĘKAWICZKI NITRYLOWE Rękawiczki Jednorazowe IRIS CZARNE BLACK 100 SZT XL,1214553892,Rękawiczki jednorazowe,1
182,KINGFA Rękawica diagnostyczna różowa XS,1214553892,Rękawiczki jednorazowe,1
183,KINGFA Rękawica diagnostyczna różowa S,1214553892,Rękawiczki jednorazowe,1
184,RĘKAWICZKI DIAGNOSTYCZNE NITRYLOWE BEZPUDROWE KINGFA RÓŻ 100 SZT M,1214553892,Rękawiczki jednorazowe,1
211,OBUWIE MEDYCZNE guma RB pianka EVA KLAPKI z paskiem BIAŁE DOVE R 34/35,1214553894,Obuwie,1
212,OBUWIE MEDYCZNE KLAPKI z paskiem LEKKIE pianka EVA BIAŁE DOVE R 34/35,1214553894,Obuwie,1
213,OBUWIE MEDYCZNE guma RB pianka EVA KLAPKI z paskiem BIAŁE DOVE R 36/37,1214553894,Obuwie,1
214,OBUWIE MEDYCZNE KLAPKI z paskiem LEKKIE pianka EVA BIAŁE DOVE R 38/39,1214553894,Obuwie,1
215,OBUWIE MEDYCZNE KLAPKI z paskiem LEKKIE gumowe BIAŁE DOVE R 40/41,1214553894,Obuwie,1
216,OBUWIE MEDYCZNE KLAPKI pasek stabilizujący LEKKIE gumowe BIAŁE DOVE R 42/43,1214553894,Obuwie,1
217,OBUWIE MEDYCZNE KLAPKI chodaki LEKKIE pianka EVA gumowe BIAŁE DOVE R 44/45,1214553894,Obuwie,1
218,OBUWIE MEDYCZNE guma Rb pianka EVA klapki pasek GRANAT DOVE Rozmiar 36/37,1214553894,Obuwie,1
219,OBUWIE MEDYCZNE lekkie klapki pasek GRANATOWY DOVE do szpitala Rozmiar 38/39,1214553894,Obuwie,1
220,OBUWIE MEDYCZNE chodaki gumowe klapki pasek GRANATOWY DOVE Rozmiar 40/41,1214553894,Obuwie,1
221,OBUWIE medyczne klapki pasek stabilizujący GRANATOWE DOVE Rozmiar 42/43,1214553894,Obuwie,1
222,Obuwie MEDYCZNE klapki pasek LEKKIE GRANATOWE DOVE Rozmiar 44/45,1214553894,Obuwie,1
225,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 39,1214553896,buty,1703684705
226,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 40,1214553896,buty,1703684705
227,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 41,1214553896,buty,1703684705
228,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 7/S,1214553897,Rękawice,1703684705
229,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 42,1214553896,buty,1703684705
230,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 8/M,1214553897,Rękawice,1703684705
231,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 43,1214553896,buty,1703684705
232,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 44,1214553896,buty,1703684705
233,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT  9/L,1214553897,Rękawice,1703684705
234,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 45,1214553896,buty,1703684705
235,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 46,1214553896,buty,1703684705
236,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 47,1214553896,buty,1703684705
237,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 10/XL,1214553897,Rękawice,1703684705
238,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 11/XXL,1214553897,Rękawice,1703684705
239,SIROCCO KS3003 WBL poliester/lateks porowaty KAT.II 7/S,1214553897,Rękawice,1703684705
240,RĘKAWICE ROBOCZE LATEKSOWE BIAŁO NIEBIESKIE 8/M,1214553897,Rękawice,1703684705
241,RĘKAWICE ROBOCZE LATEKSOWE BIAŁO NIEBIESKIE 9/L,1214553897,Rękawice,1703684705
242,RĘKAWICE ROBOCZE LATEKSOWE BIAŁO NIEBIESKIE 10/XL,1214553897,Rękawice,1703684705
244,RĘKAWICE ROBOCZE LATEKSOWE BIAŁO NIEBIESKIE 11/XXL,1214553897,Rękawice,1703684705
245,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 7/S,1214553897,Rękawice,1703684705
246,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 8/M,1214553897,Rękawice,1703684705
247,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 10/XL,1214553897,Rękawice,1703684705
248,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 9/L,1214553897,Rękawice,1703684705
249,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 11/XXL,1214553897,Rękawice,1703684705
251,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.39,1214553896,buty,1703684705
252,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.40,1214553896,buty,1703684705
253,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.41,1214553896,buty,1703684705
254,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.42,1214553896,buty,1703684705
255,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.43,1214553896,buty,1703684705
256,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.44,1214553896,buty,1703684705
257,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.45,1214553896,buty,1703684705
258,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.46,1214553896,buty,1703684705
259,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.47,1214553896,buty,1703684705
260,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 7/S,1214553897,Rękawice,1703684705
261,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 8/M,1214553897,Rękawice,1703684705
262,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 9/L,1214553897,Rękawice,1703684705
263,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 10/XL,1214553897,Rękawice,1703684705
264,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 11/XXL,1214553897,Rękawice,1703684705
265,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 7/S,1214553897,Rękawice,1703684705
266,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 8/M,1214553897,Rękawice,1703684705
267,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 9/L,1214553897,Rękawice,1703684705
268,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 10/XL,1214553897,Rękawice,1703684705
269,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 11/XXL,1214553897,Rękawice,1703684705
270,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV7/S,1214553897,Rękawice,1703684705
271,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV8/M,1214553897,Rękawice,1703684705
272,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV9/L,1214553897,Rękawice,1703684705
273,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV10/XL,1214553897,Rękawice,1703684705
274,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV11/XXL,1214553897,Rękawice,1703684705
275,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 8/M,1214553897,Rękawice,1703684705
276,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 7/S,1214553897,Rękawice,1703684705
277,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 9/L,1214553897,Rękawice,1703684705
278,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 10/XL,1214553897,Rękawice,1703684705
