product_id,product_name_pol,category_id,category_name,producer_id,producer,total_stock
154,KINGFA Rękawica diagnostyczna niebieska M,1214553892,Rękawiczki jednorazowe,1,,210
155,KINGFA Rękawica diagnostyczna niebieska L,1214553892,Rękawiczki jednorazowe,1,,2143
156,RĘKAWICE JEDNORAZOWE DIAGNOSTYCZNE NIEBIESKIE BLUE NITRYLOWE 100 SZT. XL,1214553892,Rękawiczki jednorazowe,1,,0
157,RĘKAWICZKI NITRYLOWE Rękawiczki Jednorazowe IRIS CZARNE BLACK 100 SZT S,1214553892,Rękawiczki jednorazowe,1,,4359
158,RĘKAWICZKI NITRYLOWE Rękawiczki Jednorazowe IRIS CZARNE BLACK 100 SZT M,1214553892,Rękawiczki jednorazowe,1,,9323
159,RĘKAWICZKI NITRYLOWE Rękawiczki Jednorazowe IRIS CZARNE BLACK 100 SZT L,1214553892,Rękawiczki jednorazowe,1,,1280
160,RĘKAWICZKI NITRYLOWE Rękawiczki Jednorazowe IRIS CZARNE BLACK 100 SZT XL,1214553892,Rękawiczki jednorazowe,1,,812
182,KINGFA Rękawica diagnostyczna różowa XS,1214553892,Rękawiczki jednorazowe,1,,331
183,KINGFA Rękawica diagnostyczna różowa S,1214553892,Rękawiczki jednorazowe,1,,1927
184,RĘKAWICZKI DIAGNOSTYCZNE NITRYLOWE BEZPUDROWE KINGFA RÓŻ 100 SZT M,1214553892,Rękawiczki jednorazowe,1,,1190
211,OBUWIE MEDYCZNE guma RB pianka EVA KLAPKI z paskiem BIAŁE DOVE R 34/35,1214553894,Obuwie,1,,126
212,OBUWIE MEDYCZNE KLAPKI z paskiem LEKKIE pianka EVA BIAŁE DOVE R 34/35,1214553894,Obuwie,1,,170
213,OBUWIE MEDYCZNE guma RB pianka EVA KLAPKI z paskiem BIAŁE DOVE R 36/37,1214553894,Obuwie,1,,176
214,OBUWIE MEDYCZNE KLAPKI z paskiem LEKKIE pianka EVA BIAŁE DOVE R 38/39,1214553894,Obuwie,1,,0
215,OBUWIE MEDYCZNE KLAPKI z paskiem LEKKIE gumowe BIAŁE DOVE R 40/41,1214553894,Obuwie,1,,78
216,OBUWIE MEDYCZNE KLAPKI pasek stabilizujący LEKKIE gumowe BIAŁE DOVE R 42/43,1214553894,Obuwie,1,,502
217,OBUWIE MEDYCZNE KLAPKI chodaki LEKKIE pianka EVA gumowe BIAŁE DOVE R 44/45,1214553894,Obuwie,1,,201
218,OBUWIE MEDYCZNE guma Rb pianka EVA klapki pasek GRANAT DOVE Rozmiar 36/37,1214553894,Obuwie,1,,448
219,OBUWIE MEDYCZNE lekkie klapki pasek GRANATOWY DOVE do szpitala Rozmiar 38/39,1214553894,Obuwie,1,,268
220,OBUWIE MEDYCZNE chodaki gumowe klapki pasek GRANATOWY DOVE Rozmiar 40/41,1214553894,Obuwie,1,,263
221,OBUWIE medyczne klapki pasek stabilizujący GRANATOWE DOVE Rozmiar 42/43,1214553894,Obuwie,1,,379
222,Obuwie MEDYCZNE klapki pasek LEKKIE GRANATOWE DOVE Rozmiar 44/45,1214553894,Obuwie,1,,163
225,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 39,1214553896,buty,1703684705,4WRK,0
226,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 40,1214553896,buty,1703684705,4WRK,50
227,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 41,1214553896,buty,1703684705,4WRK,0
228,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 7/S,1214553897,Rękawice,1703684705,4WRK,0
229,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 42,1214553896,buty,1703684705,4WRK,140
230,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 8/M,1214553897,Rękawice,1703684705,4WRK,0
231,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 43,1214553896,buty,1703684705,4WRK,267
232,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 44,1214553896,buty,1703684705,4WRK,13
233,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT  9/L,1214553897,Rękawice,1703684705,4WRK,0
234,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 45,1214553896,buty,1703684705,4WRK,23
235,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 46,1214553896,buty,1703684705,4WRK,54
236,BUTY TRZEWIKI SPAWALNICZE ROBOCZE  PODNOSEK S3 47,1214553896,buty,1703684705,4WRK,38
237,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 10/XL,1214553897,Rękawice,1703684705,4WRK,65897
238,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 11/XXL,1214553897,Rękawice,1703684705,4WRK,0
239,SIROCCO KS3003 WBL poliester/lateks porowaty KAT.II 7/S,1214553897,Rękawice,1703684705,4WRK,4114
240,RĘKAWICE ROBOCZE LATEKSOWE BIAŁO NIEBIESKIE 8/M,1214553897,Rękawice,1703684705,4WRK,5437
241,RĘKAWICE ROBOCZE LATEKSOWE BIAŁO NIEBIESKIE 9/L,1214553897,Rękawice,1703684705,4WRK,5960
242,RĘKAWICE ROBOCZE LATEKSOWE BIAŁO NIEBIESKIE 10/XL,1214553897,Rękawice,1703684705,4WRK,6958
244,RĘKAWICE ROBOCZE LATEKSOWE BIAŁO NIEBIESKIE 11/XXL,1214553897,Rękawice,1703684705,4WRK,853
245,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 7/S,1214553897,Rękawice,1703684705,4WRK,480
246,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 8/M,1214553897,Rękawice,1703684705,4WRK,2512
247,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 10/XL,1214553897,Rękawice,1703684705,4WRK,7716
248,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 9/L,1214553897,Rękawice,1703684705,4WRK,2623
249,RĘKAWICE SZARE ROBOCZE POROWATE LATEKS 11/XXL,1214553897,Rękawice,1703684705,4WRK,4749
251,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.39,1214553896,buty,1703684705,4WRK,147
252,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.40,1214553896,buty,1703684705,4WRK,246
253,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.41,1214553896,buty,1703684705,4WRK,234
254,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.42,1214553896,buty,1703684705,4WRK,12
255,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.43,1214553896,buty,1703684705,4WRK,0
256,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.44,1214553896,buty,1703684705,4WRK,109
257,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.45,1214553896,buty,1703684705,4WRK,0
258,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.46,1214553896,buty,1703684705,4WRK,0
259,BUTY SKÓRZANE TRZEWIKI ROBOCZE 01 BEZ PODNOSKA BHP R.47,1214553896,buty,1703684705,4WRK,45
260,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 7/S,1214553897,Rękawice,1703684705,4WRK,1612
261,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 8/M,1214553897,Rękawice,1703684705,4WRK,0
262,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 9/L,1214553897,Rękawice,1703684705,4WRK,1444
263,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 10/XL,1214553897,Rękawice,1703684705,4WRK,0
264,RĘKAWICE CZARNE ROBOCZE POROWATE LATEKS 11/XXL,1214553897,Rękawice,1703684705,4WRK,2
265,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 7/S,1214553897,Rękawice,1703684705,4WRK,125
266,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 8/M,1214553897,Rękawice,1703684705,4WRK,4186
267,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 9/L,1214553897,Rękawice,1703684705,4WRK,37216
268,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 10/XL,1214553897,Rękawice,1703684705,4WRK,94515
269,RĘKAWICE ROBOCZE NITRYLOWE RĘKAWICZKI BIAŁE POWLEKANE TRWAŁY NITRYL 11/XXL,1214553897,Rękawice,1703684705,4WRK,465
