product_id,product_name_pol,category_id,category,producer,vat,price_gross,price_net,total_stock,card_url,image_url,icon_url
962,BUTY PÓŁBUTY ROBOCZE 03-001 01 SAKO ROZMIAR 44,1214553896,buty,4WRK,23.0,75.18,61.12,37,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-001-01-sako-rozmiar-44-962.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/962_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/962.jpg
963,BUTY PÓŁBUTY ROBOCZE 03-001 01 SAKO ROZMIAR 45,1214553896,buty,4WRK,23.0,75.18,61.12,14,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-001-01-sako-rozmiar-45-963.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/963_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/963.jpg
964,BUTY PÓŁBUTY ROBOCZE 03-001 01 SAKO ROZMIAR 46,1214553896,buty,4WRK,23.0,75.18,61.12,31,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-001-01-sako-rozmiar-46-964.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/964_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/964.jpg
965,BUTY PÓŁBUTY ROBOCZE 03-001 01 SAKO ROZMIAR 47,1214553896,buty,4WRK,23.0,75.18,61.12,10,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-001-01-sako-rozmiar-47-965.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/965_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/965.jpg
966,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 36,1214553896,buty,4WRK,23.0,85.90,69.84,110,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-36-966.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/966_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/966.jpg
968,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 37,1214553896,buty,4WRK,23.0,85.90,69.84,92,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-37-968.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/968_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/968.jpg
969,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 38,1214553896,buty,4WRK,23.0,85.90,69.84,239,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-38-969.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/969_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/969.jpg
970,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 39,1214553896,buty,4WRK,23.0,85.90,69.84,67,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-39-970.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/970_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/970.jpg
971,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 40,1214553896,buty,4WRK,23.0,85.90,69.84,40,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-40-971.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/971_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/971.jpg
972,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 41,1214553896,buty,4WRK,23.0,85.90,69.84,119,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-41-972.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/972_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/972.jpg
